state,zone,survey_year,total_fertility_rate,pct_currently_pregnant_women_15_49,mean_children_ever_born_women_40_49,pct_women_15_19_ever_been_pregnant,notes
NATIONAL,National,2024,4.8,8.4,5.5,11.0,National estimate
ZONE: North Central,North Central,2024,4.2,7.6,4.9,12.0,Zonal aggregate
ZONE: North East,North East,2024,6.1,10.2,6.8,18.3,Zonal aggregate
ZONE: North West,North West,2024,5.9,10.8,7.6,22.5,Zonal aggregate
ZONE: South East,South East,2024,4.1,6.3,4.6,5.2,Zonal aggregate
ZONE: South South,South South,2024,3.3,6.2,4.1,7.9,Zonal aggregate
ZONE: South West,South West,2024,3.4,5.1,3.7,5.3,Zonal aggregate
FCT-Abuja,North Central,2024,3.2,6.2,4.4,3.8,State-level estimate
Benue,North Central,2024,3.5,7.8,4.7,10.1,State-level estimate
Kogi,North Central,2024,4.9,7.5,4.8,16.1,State-level estimate
Kwara,North Central,2024,4.0,5.7,4.1,12.9,State-level estimate
Nasarawa,North Central,2024,4.3,7.7,5.8,12.7,State-level estimate
Niger,North Central,2024,4.4,8.3,5.0,16.1,State-level estimate
Plateau,North Central,2024,4.4,8.5,5.3,8.6,State-level estimate
Adamawa,North East,2024,5.3,8.9,6.4,15.2,State-level estimate
Bauchi,North East,2024,6.2,9.7,6.8,25.3,State-level estimate
Borno,North East,2024,6.5,11.2,6.1,14.6,State-level estimate
Gombe,North East,2024,5.5,9.5,7.3,16.3,State-level estimate
Taraba,North East,2024,5.2,10.0,6.3,13.9,State-level estimate
Yobe,North East,2024,7.5,11.9,8.4,18.1,State-level estimate
Jigawa,North West,2024,6.9,9.8,8.1,29.2,State-level estimate
Kaduna,North West,2024,5.6,11.1,7.1,29.9,State-level estimate
Kano,North West,2024,5.8,7.5,7.9,12.9,State-level estimate
Katsina,North West,2024,5.7,13.5,7.8,22.9,State-level estimate
Kebbi,North West,2024,6.6,13.0,7.6,31.6,State-level estimate
Sokoto,North West,2024,5.4,12.1,6.7,20.9,State-level estimate
Zamfara,North West,2024,6.3,14.2,7.2,29.8,State-level estimate
Abia,South East,2024,3.7,3.3,4.0,4.7,State-level estimate
Anambra,South East,2024,3.7,5.6,4.2,4.9,State-level estimate
Ebonyi,South East,2024,4.7,7.3,5.9,5.7,State-level estimate
Enugu,South East,2024,3.5,5.7,3.7,5.9,State-level estimate
Imo,South East,2024,4.4,8.2,4.3,4.3,State-level estimate
Akwa Ibom,South South,2024,3.3,5.3,4.7,10.7,State-level estimate
Bayelsa,South South,2024,3.8,7.1,5.2,14.5,State-level estimate
Cross River,South South,2024,3.0,9.3,4.2,4.8,State-level estimate
Delta,South South,2024,3.7,5.7,4.3,11.5,State-level estimate
Edo,South South,2024,3.3,5.1,3.6,2.6,State-level estimate
Rivers,South South,2024,2.9,6.2,3.5,6.0,State-level estimate
Ekiti,South West,2024,3.8,5.0,4.2,9.9,State-level estimate
Lagos,South West,2024,3.2,5.3,3.2,2.7,State-level estimate
Ogun,South West,2024,4.1,5.0,4.1,4.2,State-level estimate
Ondo,South West,2024,3.1,4.4,3.9,5.5,State-level estimate
Osun,South West,2024,3.3,8.5,4.4,7.3,State-level estimate
Oyo,South West,2024,3.3,3.6,3.6,7.5,State-level estimate
