state,zone,survey_year,pct_stunted_below_minus2sd,pct_severe_stunted_below_minus3sd,pct_wasted_below_minus2sd,pct_overweight_wfh_above_plus2sd,pct_underweight_below_minus2sd,pct_severe_underweight_below_minus3sd,pct_anaemia_any_children,pct_anaemia_severe_children,mean_haemoglobin_gdl,notes
NATIONAL,National,2024,39.5,18.4,8.4,1.8,26.6,8.3,58.1,1.4,10.4,"Tables 11.1, 11.12"
ZONE: North Central,North Central,2024,36.8,14.8,6.5,1.0,21.1,6.2,53.1,1.3,10.5,Zonal aggregate
ZONE: North East,North East,2024,51.8,26.6,8.1,1.7,33.4,13.1,61.0,2.5,10.3,Zonal aggregate
ZONE: North West,North West,2024,53.2,27.8,8.3,1.8,33.8,10.9,62.0,1.8,10.3,Zonal aggregate
ZONE: South East,South East,2024,20.6,6.5,7.0,1.1,16.0,4.2,63.7,1.1,10.3,Zonal aggregate
ZONE: South South,South South,2024,17.9,4.6,11.3,1.2,16.8,3.8,53.8,0.4,10.6,Zonal aggregate
ZONE: South West,South West,2024,21.2,6.6,11.0,0.5,21.8,3.9,45.5,0.1,10.8,Zonal aggregate
FCT-Abuja,North Central,2024,16.3,3.9,7.0,1.2,13.7,3.0,34.9,0.0,11.1,Table 11.1 (anthropometry) + Table 11.12 (anaemia)
Benue,North Central,2024,25.3,9.6,6.7,0.0,13.4,2.2,51.0,0.6,10.7,Table 11.1 (anthropometry) + Table 11.12 (anaemia)
Kogi,North Central,2024,34.6,15.2,5.9,1.1,21.1,6.7,39.1,0.1,10.9,Table 11.1 (anthropometry) + Table 11.12 (anaemia)
Kwara,North Central,2024,40.8,18.0,6.1,0.0,24.5,7.6,65.2,0.6,10.2,Table 11.1 (anthropometry) + Table 11.12 (anaemia)
Nasarawa,North Central,2024,35.0,13.6,9.6,1.0,22.9,6.5,59.7,1.6,10.3,Table 11.1 (anthropometry) + Table 11.12 (anaemia)
Niger,North Central,2024,43.9,17.2,5.8,1.7,23.7,7.4,54.3,2.3,10.4,Table 11.1 (anthropometry) + Table 11.12 (anaemia)
Plateau,North Central,2024,46.4,19.8,4.8,1.1,22.8,7.3,57.5,1.9,10.5,Table 11.1 (anthropometry) + Table 11.12 (anaemia)
Adamawa,North East,2024,48.6,26.7,7.0,0.5,32.5,13.1,59.0,4.6,10.3,Table 11.1 (anthropometry) + Table 11.12 (anaemia)
Bauchi,North East,2024,61.7,32.3,5.2,2.8,33.4,12.7,65.3,2.9,10.1,Table 11.1 (anthropometry) + Table 11.12 (anaemia)
Borno,North East,2024,40.9,23.4,10.3,2.9,,,61.4,0.8,10.5,Table 11.1 (anthropometry) + Table 11.12 (anaemia)
Gombe,North East,2024,,,,,,,60.4,4.4,10.2,Table 11.1 (anthropometry) + Table 11.12 (anaemia)
Taraba,North East,2024,,,,,,,58.8,1.9,10.5,Table 11.1 (anthropometry) + Table 11.12 (anaemia)
Yobe,North East,2024,,,,,,,56.6,1.4,10.6,Table 11.1 (anthropometry) + Table 11.12 (anaemia)
Jigawa,North West,2024,55.7,31.9,13.2,1.0,41.9,17.6,60.0,2.8,10.3,Table 11.1 (anthropometry) + Table 11.12 (anaemia)
Kaduna,North West,2024,40.7,16.8,5.9,1.8,24.7,6.0,54.1,1.9,10.5,Table 11.1 (anthropometry) + Table 11.12 (anaemia)
Kano,North West,2024,51.9,29.4,10.4,1.4,38.4,12.2,64.2,1.4,10.4,Table 11.1 (anthropometry) + Table 11.12 (anaemia)
Katsina,North West,2024,64.6,32.6,6.7,3.6,26.8,8.1,69.6,0.0,10.2,Table 11.1 (anthropometry) + Table 11.12 (anaemia)
Kebbi,North West,2024,60.0,35.2,9.6,1.2,40.6,11.0,52.1,2.9,10.5,Table 11.1 (anthropometry) + Table 11.12 (anaemia)
Sokoto,North West,2024,42.8,14.8,6.0,1.5,24.9,6.8,56.7,3.0,10.4,Table 11.1 (anthropometry) + Table 11.12 (anaemia)
Zamfara,North West,2024,64.2,39.2,5.3,1.9,44.3,18.3,73.3,2.9,9.8,Table 11.1 (anthropometry) + Table 11.12 (anaemia)
Abia,South East,2024,20.2,7.0,8.2,2.9,16.3,3.5,64.1,0.3,10.4,Table 11.1 (anthropometry) + Table 11.12 (anaemia)
Anambra,South East,2024,12.9,5.8,9.8,1.3,13.0,5.4,52.9,0.6,10.6,Table 11.1 (anthropometry) + Table 11.12 (anaemia)
Ebonyi,South East,2024,31.6,10.2,6.5,1.4,22.4,5.8,84.8,2.4,9.5,Table 11.1 (anthropometry) + Table 11.12 (anaemia)
Enugu,South East,2024,15.2,4.2,3.9,0.9,8.2,1.1,63.0,0.8,10.4,Table 11.1 (anthropometry) + Table 11.12 (anaemia)
Imo,South East,2024,17.3,3.9,7.1,0.0,15.8,3.6,45.4,0.2,10.9,Table 11.1 (anthropometry) + Table 11.12 (anaemia)
Akwa Ibom,South South,2024,24.1,9.0,11.8,1.3,22.6,5.0,74.5,0.7,9.9,Table 11.1 (anthropometry) + Table 11.12 (anaemia)
Bayelsa,South South,2024,27.6,10.6,8.9,1.3,23.0,5.1,50.1,0.8,10.6,Table 11.1 (anthropometry) + Table 11.12 (anaemia)
Cross River,South South,2024,21.0,5.1,5.6,0.5,16.0,5.4,52.6,0.0,10.7,Table 11.1 (anthropometry) + Table 11.12 (anaemia)
Delta,South South,2024,20.0,2.9,15.1,0.5,19.6,2.9,33.4,0.0,11.2,Table 11.1 (anthropometry) + Table 11.12 (anaemia)
Edo,South South,2024,13.6,3.6,8.0,1.1,13.0,2.1,51.5,1.2,10.6,Table 11.1 (anthropometry) + Table 11.12 (anaemia)
Rivers,South South,2024,12.3,2.2,12.7,1.8,13.0,3.7,55.8,0.0,10.6,Table 11.1 (anthropometry) + Table 11.12 (anaemia)
Ekiti,South West,2024,17.1,4.8,5.0,0.0,16.9,2.1,,,,Table 11.1 (anthropometry) + Table 11.12 (anaemia)
Lagos,South West,2024,17.3,2.1,6.0,0.4,14.3,2.8,,,,Table 11.1 (anthropometry) + Table 11.12 (anaemia)
Ogun,South West,2024,17.7,6.1,13.4,0.0,23.8,4.3,,,,Table 11.1 (anthropometry) + Table 11.12 (anaemia)
Ondo,South West,2024,23.2,12.3,10.2,0.7,17.8,7.3,,,,Table 11.1 (anthropometry) + Table 11.12 (anaemia)
Osun,South West,2024,30.5,8.8,11.8,2.7,27.9,2.8,,,,Table 11.1 (anthropometry) + Table 11.12 (anaemia)
Oyo,South West,2024,23.1,7.9,14.4,0.0,26.1,4.2,,,,Table 11.1 (anthropometry) + Table 11.12 (anaemia)
