state,zone,survey_year,pct_women_own_any_mobile_phone,pct_women_have_bank_account,pct_women_own_house,pct_men_own_any_mobile_phone,pct_men_have_bank_account,notes
NATIONAL,National,2024,62.1,38.1,10.8,,,National estimate
ZONE: North Central,North Central,2024,66.8,36.0,12.6,,,Zonal aggregate
ZONE: North East,North East,2024,49.3,18.1,6.7,,,Zonal aggregate
ZONE: North West,North West,2024,46.2,15.9,7.7,,,Zonal aggregate
ZONE: South East,South East,2024,74.7,54.9,16.7,,,Zonal aggregate
ZONE: South South,South South,2024,77.8,64.2,10.6,89.4,78.3,Zonal aggregate
ZONE: South West,South West,2024,84.4,72.4,11.3,90.3,82.1,Zonal aggregate
FCT-Abuja,North Central,2024,89.2,73.6,15.9,96.6,89.3,State-level estimate
Benue,North Central,2024,67.4,40.0,29.0,80.2,53.2,State-level estimate
Kogi,North Central,2024,67.4,37.6,16.3,88.8,54.2,State-level estimate
Kwara,North Central,2024,81.7,54.5,12.5,76.6,53.0,State-level estimate
Nasarawa,North Central,2024,70.3,37.3,10.2,90.5,62.9,State-level estimate
Niger,North Central,2024,56.1,13.9,0.7,79.2,38.9,State-level estimate
Plateau,North Central,2024,54.7,27.7,14.9,83.0,49.1,State-level estimate
Adamawa,North East,2024,54.7,17.7,3.5,81.0,40.4,State-level estimate
Bauchi,North East,2024,42.5,17.1,13.3,76.2,35.3,State-level estimate
Borno,North East,2024,55.4,17.1,5.1,81.9,48.8,State-level estimate
Gombe,North East,2024,46.4,22.3,3.1,78.1,44.0,State-level estimate
Taraba,North East,2024,58.4,19.4,0.8,82.5,46.0,State-level estimate
Yobe,North East,2024,44.6,17.8,2.3,83.3,44.3,State-level estimate
Jigawa,North West,2024,31.2,11.0,7.0,75.3,24.4,State-level estimate
Kaduna,North West,2024,53.4,27.1,8.0,81.3,48.0,State-level estimate
Kano,North West,2024,56.0,20.9,7.5,78.2,52.2,State-level estimate
Katsina,North West,2024,45.4,10.0,7.5,76.2,37.9,State-level estimate
Kebbi,North West,2024,24.8,3.9,0.0,69.9,16.8,State-level estimate
Sokoto,North West,2024,45.4,7.7,0.7,77.3,30.8,State-level estimate
Zamfara,North West,2024,35.3,9.3,0.0,63.7,28.7,State-level estimate
Abia,South East,2024,82.6,69.3,16.3,93.0,83.6,State-level estimate
Anambra,South East,2024,81.5,68.0,16.3,90.3,83.3,State-level estimate
Ebonyi,South East,2024,57.1,28.2,15.4,81.6,48.7,State-level estimate
Enugu,South East,2024,80.7,58.0,10.7,89.5,77.0,State-level estimate
Imo,South East,2024,82.5,66.9,14.7,92.2,79.1,State-level estimate
Akwa Ibom,South South,2024,73.2,56.5,10.3,79.9,65.2,State-level estimate
Bayelsa,South South,2024,77.7,62.8,6.3,83.5,72.1,State-level estimate
Cross River,South South,2024,68.6,46.3,10.2,88.3,69.8,State-level estimate
Delta,South South,2024,81.7,,10.0,92.2,86.6,State-level estimate
Edo,South South,2024,,,10.0,95.4,82.5,State-level estimate
Rivers,South South,2024,,,5.3,91.0,81.6,State-level estimate
Ekiti,South West,2024,,,11.6,91.6,77.9,State-level estimate
Lagos,South West,2024,,,10.9,92.1,87.8,State-level estimate
Ogun,South West,2024,,,12.6,91.2,77.6,State-level estimate
Ondo,South West,2024,,,,84.5,81.3,State-level estimate
Osun,South West,2024,,,,,,State-level estimate
Oyo,South West,2024,,,,,,State-level estimate
