state,zone,survey_year,pct_basic_drinking_water_service,pct_unimproved_drinking_water,pct_surface_water_use,pct_basic_sanitation_service,pct_open_defecation,notes
NATIONAL,National,2024,70.5,14.7,9.8,49.1,19.9,National estimate
ZONE: North Central,North Central,2024,59.4,6.2,30.9,37.3,42.8,Zonal aggregate
ZONE: North East,North East,2024,60.2,22.9,8.0,43.4,13.0,Zonal aggregate
ZONE: North West,North West,2024,67.5,26.4,1.9,57.0,12.5,Zonal aggregate
ZONE: South East,South East,2024,72.6,2.9,12.0,48.0,31.3,Zonal aggregate
ZONE: South South,South South,2024,83.1,2.5,10.6,51.5,15.1,Zonal aggregate
ZONE: South West,South West,2024,94.7,2.0,2.6,50.8,15.4,Zonal aggregate
FCT-Abuja,North Central,2024,96.3,0.1,0.2,73.1,7.0,State-level estimate
Benue,North Central,2024,66.6,0.6,23.3,31.9,39.2,State-level estimate
Kogi,North Central,2024,53.0,3.8,39.2,20.6,68.8,State-level estimate
Kwara,North Central,2024,71.4,1.0,25.9,38.7,39.6,State-level estimate
Nasarawa,North Central,2024,70.0,6.8,22.1,52.9,22.8,State-level estimate
Niger,North Central,2024,43.5,5.7,50.7,30.9,51.0,State-level estimate
Plateau,North Central,2024,42.0,22.2,28.3,24.9,60.1,State-level estimate
Adamawa,North East,2024,49.3,29.5,10.9,33.1,21.7,State-level estimate
Bauchi,North East,2024,66.0,30.6,1.2,57.9,7.8,State-level estimate
Borno,North East,2024,62.7,16.1,1.8,45.4,2.8,State-level estimate
Gombe,North East,2024,57.4,40.0,0.2,51.1,5.2,State-level estimate
Taraba,North East,2024,36.1,15.2,43.6,24.1,38.0,State-level estimate
Yobe,North East,2024,76.8,5.3,2.0,32.7,11.5,State-level estimate
Jigawa,North West,2024,80.7,15.9,0.0,44.7,23.2,State-level estimate
Kaduna,North West,2024,71.2,19.2,3.7,41.3,18.8,State-level estimate
Kano,North West,2024,91.5,4.1,0.1,82.8,1.9,State-level estimate
Katsina,North West,2024,59.5,34.3,1.7,56.9,2.6,State-level estimate
Kebbi,North West,2024,31.0,65.3,3.6,35.1,23.7,State-level estimate
Sokoto,North West,2024,34.9,60.8,0.1,48.0,35.6,State-level estimate
Zamfara,North West,2024,55.1,33.6,6.7,55.9,2.5,State-level estimate
Abia,South East,2024,69.3,0.3,19.8,65.4,5.9,State-level estimate
Anambra,South East,2024,93.4,0.6,4.6,65.8,9.6,State-level estimate
Ebonyi,South East,2024,40.2,8.7,18.8,9.0,74.8,State-level estimate
Enugu,South East,2024,74.4,2.4,19.4,37.0,37.1,State-level estimate
Imo,South East,2024,91.5,0.0,1.3,74.4,12.4,State-level estimate
Akwa Ibom,South South,2024,80.6,1.6,12.5,43.7,2.7,State-level estimate
Bayelsa,South South,2024,75.6,4.3,17.4,48.5,11.5,State-level estimate
Cross River,South South,2024,55.9,2.8,40.3,29.8,30.3,State-level estimate
Delta,South South,2024,87.3,5.6,4.9,60.5,16.0,State-level estimate
Edo,South South,2024,88.7,0.6,3.8,58.5,10.3,State-level estimate
Rivers,South South,2024,91.2,0.8,3.8,54.3,18.5,State-level estimate
Ekiti,South West,2024,88.4,0.9,9.1,42.1,31.3,State-level estimate
Lagos,South West,2024,98.0,1.8,0.0,65.6,3.4,State-level estimate
Ogun,South West,2024,96.6,1.3,1.8,56.6,8.0,State-level estimate
Ondo,South West,2024,91.4,0.4,7.7,37.4,24.9,State-level estimate
Osun,South West,2024,93.6,3.0,2.2,45.5,21.3,State-level estimate
Oyo,South West,2024,92.0,3.8,3.0,37.3,26.6,State-level estimate
