state,zone,survey_year,pct_women_ever_blood_pressure_measured,pct_women_told_have_hypertension,notes
NATIONAL,National,2024,52.2,7.9,National estimate
ZONE: North Central,North Central,2024,47.0,7.1,Zonal aggregate
ZONE: North East,North East,2024,51.2,10.4,Zonal aggregate
ZONE: North West,North West,2024,44.4,7.4,Zonal aggregate
ZONE: South East,South East,2024,56.9,6.2,Zonal aggregate
ZONE: South South,South South,2024,61.6,8.7,Zonal aggregate
ZONE: South West,South West,2024,66.6,8.0,Zonal aggregate
FCT-Abuja,North Central,2024,58.2,10.5,State-level estimate
Benue,North Central,2024,49.3,7.8,State-level estimate
Kogi,North Central,2024,47.3,6.1,State-level estimate
Kwara,North Central,2024,30.7,9.3,State-level estimate
Nasarawa,North Central,2024,51.7,11.2,State-level estimate
Niger,North Central,2024,50.1,3.5,State-level estimate
Plateau,North Central,2024,39.2,5.5,State-level estimate
Adamawa,North East,2024,50.2,13.6,State-level estimate
Bauchi,North East,2024,48.4,11.5,State-level estimate
Borno,North East,2024,72.9,13.4,State-level estimate
Gombe,North East,2024,72.9,8.3,State-level estimate
Taraba,North East,2024,18.7,3.7,State-level estimate
Yobe,North East,2024,46.3,8.7,State-level estimate
Jigawa,North West,2024,67.6,6.8,State-level estimate
Kaduna,North West,2024,53.8,7.7,State-level estimate
Kano,North West,2024,51.0,12.4,State-level estimate
Katsina,North West,2024,49.3,6.7,State-level estimate
Kebbi,North West,2024,7.9,1.1,State-level estimate
Sokoto,North West,2024,7.2,2.8,State-level estimate
Zamfara,North West,2024,7.9,3.5,State-level estimate
Abia,South East,2024,44.6,4.2,State-level estimate
Anambra,South East,2024,40.3,3.5,State-level estimate
Ebonyi,South East,2024,33.6,1.4,State-level estimate
Enugu,South East,2024,31.3,5.4,State-level estimate
Imo,South East,2024,52.3,5.8,State-level estimate
Akwa Ibom,South South,2024,57.8,4.8,State-level estimate
Bayelsa,South South,2024,15.8,4.0,State-level estimate
Cross River,South South,2024,44.7,5.4,State-level estimate
Delta,South South,2024,56.7,13.5,State-level estimate
Edo,South South,2024,52.1,13.0,State-level estimate
Rivers,South South,2024,44.4,10.7,State-level estimate
Ekiti,South West,2024,42.4,3.5,State-level estimate
Lagos,South West,2024,79.6,6.8,State-level estimate
Ogun,South West,2024,62.8,11.7,State-level estimate
Ondo,South West,2024,43.7,12.8,State-level estimate
Osun,South West,2024,30.3,7.0,State-level estimate
Oyo,South West,2024,33.6,3.7,State-level estimate
