state,winner,pdp,anpp,ad,ndp,otherparties,regvoters
Abia,Orji Uzor Kalu (PDP),540983,198738,-,-,64435,1285428
Adamawa,Boni Haruna (PDP),375000,282352,-,-,3734,1280204
Akwa Ibom,Victor Attah (PDP),1028722,197369,-,109254,2967,1624495
Anambra,Chris Ngige (PDP),452820,-,-,-,279647,1859795
Bauchi,Adamu Mu'azu (PDP),1198130,377400,-,-,-,2130557
Bayelsa,DieprieyeAlamieyeseigha (PDP),698661,29581,-,-,15595,765472
Benue,George Akume (PDP),681717,443957,-,-,70063,1755528
Borno,Alli Modu Sheriff (ANPP),341537,581880,336165,-,-,2156019
Cross River,Donald Duke (PDP),1193290,-,-,32127,-,1289192
Delta,James Ibori (PDP),1038607,-,-,-,-,1607337
Ebonyi,Sam Egwu (PDP),768674,-,-,-,-,1002771
Edo,Lucky Igbinedion (PDP),969747,-,-,-,-,1432891
Ekiti,Ayo Fayose (PDP),229906,-,-,-,-,981753
Enugu,Chimaroke Nnamani (PDP),1131292,-,-,-,-,1479542
Gombe,Danjuma Goje (PDP),494562,468273,-,-,-,1263287
Imo,Achike Udenwa (PDP) ,695149,-,-,-,-,1630494
Jigawa,Ibrahim Turaki (ANPP),-,816385,-,-,-,1636657
Kaduna,Mohammed Markafi (PDP),1196688,-,-,-,-,2620999
Kano,Ibrahim Shekarau (ANPP),-,1082457,-,-,-,4000430
Katsina,Umaru Musa Yar'adua (PDP),892340,742582,-,-,1902,2567245
Kebbi,Adamu Aliero (ANPP),-,502833,-,-,-,1343549
Kogi,Ibrahim Idris (PDP),459942,-,-,-,-,1158343
Kwara,Bukola Saraki (PDP),322242,-,-,-,-,995882
Lagos,Bola Tinubu (AD),-,-,911613,-,-,4558216
Nassarawa,Abdulahi Adamu (PDP),505893,108588,-,102289,9357,852626
Niger,Abdulkadir Kure (PDP),561935,-,-,-,-,1607730
Ogun,Gbenga Daniel (PDP),497355,-,-,-,-,1576875
Ondo,Segun Agagu (PDP),611926,-,-,-,-,1504181
Osun,Olagunsoye Oyinlola (PDP),478492,-,273041,-,13669,1367627
Oyo,Rasheed Ladoja (PDP),636730,-,-,-,-,2209953
Plateau,Joshua Dariye (PDP),364903,-,-,-,-,1391594
Rivers,Peter Odili (PDP),2098692,-,-,-,-,2272238
Sokoto,Attahiru D. Bafarawa (ANPP),-,665545,-,-,-,1476691
Taraba,Jolly Nyame (PDP),784013,-,-,-,-,1026950
Yobe,Bukar Ibrahim (ANPP),-,369906,-,-,-,966749
Zamfara,Yerima Sanni (ANPP),210143,829954,-,-,7637,1515622
