state,zone,survey_year,pct_vacc_card_ever_12_23mo,pct_vacc_card_seen_12_23mo,pct_vacc_card_ever_24_35mo,pct_vacc_card_seen_24_35mo,pct_fever_prevalence_u5,pct_fever_care_sought,pct_diarrhoea_prevalence_u5,pct_diarrhoea_care_sought,notes
NATIONAL,National,2024,67.1,50.2,61.4,34.4,15.8,60.0,14.6,59.6,"Tables 10.2, 10.8, 10.11"
ZONE: North Central,North Central,2024,64.9,46.2,55.9,33.8,11.0,68.6,8.1,63.0,Zonal aggregate
ZONE: North East,North East,2024,72.2,57.8,64.4,37.9,13.7,60.6,15.7,67.8,Zonal aggregate
ZONE: North West,North West,2024,50.4,40.2,42.4,22.9,19.7,53.7,21.2,56.4,Zonal aggregate
ZONE: South East,South East,2024,93.2,57.1,91.9,46.7,19.0,63.8,9.0,52.4,Zonal aggregate
ZONE: South South,South South,2024,87.4,62.6,91.2,47.6,17.3,67.9,7.3,66.9,Zonal aggregate
ZONE: South West,South West,2024,86.3,63.5,86.7,50.1,9.7,75.2,7.5,53.9,Zonal aggregate
FCT-Abuja,North Central,2024,95.8,58.1,91.5,50.1,13.2,88.2,11.1,74.3,"Tables 10.2, 10.8, 10.11; ( ) = 25-49 cases, interpret with caution; * = <25 cases, suppressed"
Benue,North Central,2024,71.0,46.5,67.6,38.1,8.5,,2.9,,"Tables 10.2, 10.8, 10.11; ( ) = 25-49 cases, interpret with caution; * = <25 cases, suppressed"
Kogi,North Central,2024,52.3,32.9,39.0,19.4,13.8,66.7,10.2,62.7,"Tables 10.2, 10.8, 10.11; ( ) = 25-49 cases, interpret with caution; * = <25 cases, suppressed"
Kwara,North Central,2024,48.8,35.0,46.7,28.0,3.4,,3.7,,"Tables 10.2, 10.8, 10.11; ( ) = 25-49 cases, interpret with caution; * = <25 cases, suppressed"
Nasarawa,North Central,2024,83.7,62.0,79.2,57.4,19.3,72.8,20.0,63.0,"Tables 10.2, 10.8, 10.11; ( ) = 25-49 cases, interpret with caution; * = <25 cases, suppressed"
Niger,North Central,2024,48.9,38.9,34.9,18.7,10.2,65.0,5.0,53.9,"Tables 10.2, 10.8, 10.11; ( ) = 25-49 cases, interpret with caution; * = <25 cases, suppressed"
Plateau,North Central,2024,70.9,53.1,67.6,45.6,9.1,54.3,7.7,64.4,"Tables 10.2, 10.8, 10.11; ( ) = 25-49 cases, interpret with caution; * = <25 cases, suppressed"
Adamawa,North East,2024,70.4,49.6,74.9,46.8,9.5,70.3,15.1,75.1,"Tables 10.2, 10.8, 10.11; ( ) = 25-49 cases, interpret with caution; * = <25 cases, suppressed"
