state,zone,survey_year,pct_women_15_49_circumcised,notes
NATIONAL,National,2024,13.9,National estimate
ZONE: North Central,North Central,2024,5.5,Zonal aggregate
ZONE: North East,North East,2024,3.5,Zonal aggregate
ZONE: North West,North West,2024,16.6,Zonal aggregate
ZONE: South East,South East,2024,26.8,Zonal aggregate
ZONE: South South,South South,2024,15.7,Zonal aggregate
ZONE: South West,South West,2024,20.8,Zonal aggregate
FCT-Abuja,North Central,2024,4.6,State-level estimate
Benue,North Central,2024,1.1,State-level estimate
Kogi,North Central,2024,2.6,State-level estimate
Kwara,North Central,2024,17.7,State-level estimate
Nasarawa,North Central,2024,14.1,State-level estimate
Niger,North Central,2024,0.9,State-level estimate
Plateau,North Central,2024,3.4,State-level estimate
Adamawa,North East,2024,3.7,State-level estimate
Bauchi,North East,2024,2.7,State-level estimate
Borno,North East,2024,9.4,State-level estimate
Gombe,North East,2024,0.6,State-level estimate
Taraba,North East,2024,0.5,State-level estimate
Yobe,North East,2024,2.3,State-level estimate
Jigawa,North West,2024,23.0,State-level estimate
Kaduna,North West,2024,15.1,State-level estimate
Kano,North West,2024,9.2,State-level estimate
Katsina,North West,2024,49.7,State-level estimate
Kebbi,North West,2024,1.2,State-level estimate
Sokoto,North West,2024,1.1,State-level estimate
Zamfara,North West,2024,14.2,State-level estimate
Abia,South East,2024,16.9,State-level estimate
Anambra,South East,2024,15.6,State-level estimate
Ebonyi,South East,2024,38.5,State-level estimate
Enugu,South East,2024,18.2,State-level estimate
Imo,South East,2024,34.3,State-level estimate
Akwa Ibom,South South,2024,4.0,State-level estimate
Bayelsa,South South,2024,12.8,State-level estimate
Cross River,South South,2024,9.8,State-level estimate
Delta,South South,2024,28.1,State-level estimate
Edo,South South,2024,28.4,State-level estimate
Rivers,South South,2024,8.1,State-level estimate
Ekiti,South West,2024,47.9,State-level estimate
Lagos,South West,2024,21.4,State-level estimate
Ogun,South West,2024,12.4,State-level estimate
Ondo,South West,2024,23.0,State-level estimate
Osun,South West,2024,27.8,State-level estimate
Oyo,South West,2024,18.4,State-level estimate
