state,ad-app,pdp,totvotes,regvoters,winner
Abia,175095,360823,535918,1321895,PDP
Adamawa,177868,667239,845107,1260956,PDP
Akwa Ibom,152534,730744,883278,1450367,PDP
Anambra,199461,633717,833278,2221384,PDP
Bauchi,342233,834309,1176542,1941913,PDP
Bayelsa,152220,457812,610032,873000,PDP
Benue,269045,983912,1252957,1806121,PDP
Borno,334593,581382,915975,1822987,PDP
Cross River,283468,592688,876156,1142876,PDP
Delta,240334,576230,816574,1794361,PDP
Ebonyi,94934,250987,345921,902327,PDP
Edo,163203,516581,679784,1380418,PDP
Ekiti,522072,191618,713690,1077195,AD-APP
Enugu,195168,640418,835586,1466145,PDP
Gombe,311381,533158,844539,1108171,PDP
Imo,314339,421767,736306,1746673,PDP
Jigawa,237025,311571,548596,1567423,PDP
Kaduna,381350,1294679,1676029,2536702,PDP
Kano,222458,682255,904713,3680990,PDP
Katsina,229181,964216,1193397,2151112,PDP
Kebbi,172336,339893,512229,1172054,PDP
Kogi,476807,507903,984710,1265230,PDP
Kwara,189088,470510,659598,940400,PDP
Lagos,1542969,209012,1751981,4091070,AD-APP
Nassarawa,173277,423731,397008,949466,PDP
Niger,140465,730665,871130,1572979,PDP
Ondo,668474,133323,801797,1559709,AD-APP
Ogun,332340,143564,475904,1331617,AD-APP
Osun,607628,187011,854639,1496058,AD-APP
Oyo,693510,227688,921178,2363772,AD-APP
Plateau,173370,499072,672442,1311649,PDP
Rivers,213328,1352275,1565603,2202655,PDP
Sokto,198829,155598,354427,1274060,AD-APP
Taraba,81290,789749,871039,983227,PDP
Yobe,165061,146517,311578,874987,AD-APP
Zamfara,243755,136324,380079,1112627,AD-APP
Abuja,39788,59234,99022,385399,PDP
