state,anpp,pdp,apga,otherparties,regvoters,totvotes,winner
Abia,84305,386748,260899,16082,1285428,748034,PDP
Adamawa,285151,660780,2352,7564,1280204,955847,PDP
Akwa Ibom,162542,1084574,1077,44202,1624495,1292395,PDP
Anambra,79476,466866,279378,36473,1859795,862193,PDP
Bauchi,1043442,617291,1678,18131,2130557,1680542,ANPP
Bayelsa,18344,708312,3,11506,765472,738165,PDP
Benue,494804,662422,6731,49886,1755528,1213843,PDP
Bornu,727595,380875,3549,8133,2156019,1120152,ANPP
Cross River,11624,1207675,2112,11910,1289192,1233321,PDP
Delta,27492,1072527,15062,27541,1607337,1142622,PDP
Ebonyi,16308,752823,20525,6970,1002771,796626,PDP
Edo,109401,979775,2247,15389,1432891,1106812,PDP
Ekiti,7500,301185,1300,15896,981753,325881,PDP
Enugu,18987,897721,177050,33187,1479542,1126945,PDP
FCT,99220,130243,22481,9219,628100,261163,PDP
Gombe,516081,452328,1601,6126,1263287,976136,ANPP
Imo,53983,656861,281114,24523,1630494,1016481,PDP
Jigawa,885505,202502,2136,11766,1636657,1101909,ANPP
Kaduna,870454,1025347,7800,14764,2620999,1918365,PDP
Kano,1628085,492755,10229,41113,4000430,2172182,ANPP
Katsina,1259789,380914,2928,9530,2567245,1653161,ANPP
Kebbi,529512,272564,3888,9255,1343549,815219,ANPP
Kogi,314494,528778,2275,18442,1158343,863989,PDP
Kwara,170325,390800,2293,10951,995882,574369,PDP
Lagos,116510,1129521,134764,247953,4558216,1628748,PDP
Nasarawa,244005,470936,1488,12837,852626,729266,PDP
Niger,390103,486621,11849,94633,1607730,983206,PDP
Ogun,680,1360170,27,374,1576875,1361251,PDP
Ondo,31994,840988,4180,11691,1504181,888863,PDP
Osun,14369,582089,1424,13711,1367627,611593,PDP
Oyo,25112,828725,4519,24215,2209953,882571,PDP
Plateau,324566,706432,6362,13010,1391594,1050370,PDP
Rivers,42346,2003521,5964,108302,2272238,2160133,PDP
Sokoto,681153,232258,6869,8805,1476691,929085,ANPP
Taraba,198023,694527,1179,12340,1026950,906069,PDP
Yobe,383583,206984,3522,5042,966749,599131,ANPP
Zamfara,843159,200702,4590,5400,1515622,1053851,ANPP
