state,pdp,ac,anpp,otherparties,regvoters,winner
Abia,136858,-,36374,265389,1365641,PDP
Akwa Ibom,144566,19865,11439,-,1408197,PDP
Anambra,193428,-,-,85858,1844819,PDP
Bauch,474233,9354,550251,-,2211463,ANPP
Benue,1086489,58238,276618,-,2150515,PDP
Borno,307764,-,688763,-,2159515,ANPP
Delta,144322,-,-,46809,1626930,PDP
Ebonyi,506444,3186,28579,-,929375,PDP
Edo,329740,197472,8253,-,1345410,PDP
Ekiti,177689,108305,24952,-,771228,PDP
Enugu,787306,-,-,25103,1201697,PDP
Gombe,98513,32211,-,38303,1410234,PDP
Imo,309273,-,-,749800,1372975,PDP
Jigawa,523940,-,26055,-,1722352,PDP
Kaduna,1326632,109415,478725,-,3374245,PDP
Kano,629469,126235,671184,-,4072597,ANPP
Katsina,1185489,-,218302,54449,2589047,PDP
Kebbi,469595,-,134553,133800,1345436,PDP
Kwara,572938,53409,-,63743,1216478,PDP
Lagos,389883,828484,-,114557,4204000,AC
Nasarawa,467302,5127,232709,-,1001423,PDP
Niger,443764,136590,210359,-,1551903,PDP
Ogun,426132,79915,135149,-,1466308,PDP
Ondo,349258,33507,-,22651,1356779,PDP
Osun,426669,240722,-,-,1297297,PDP
Oyo,357976,146670,239189,-,1793476,PDP
Plateau,465364,269273,195911,-,1602550,PDP
Rivers,1853127,-,-,101347,2583317,PDP
Taraba,515016,119720,-,-,1173514,PDP
Yobe,186399,30444,210166,-,994380,ANPP
Zamfara,122351,-,415445,-,1330572,ANPP
