candidate,party,votes,voteperc
Umaru Musa Yar'Adua,(PDP),"24,638,063",69.6
Muhammadu Buhari,(ANPP),"6,605,299",18.66
Atiku Abubakar,(AC),"2,637,848",7.45
Orji Uzor Kalu,(PPA),"608,803",1.72
Attahiru Bafarawa,(DPP),"289,224",0.82
Odumegwu Ojukwu,(APGA),"155,947",0.44
Pere Ajuwa,(AD),"89,241",0.25
Christopher Okotie,(FP),"74,049",0.21
Patrick Utomi,(ADC),"50,849",0.14
Asakarawon Olapere,(NPC),"33,771",0.1
Ambrose Owuru,(HDP),"28,519",0.08
Arthur Nwankwo,(PMP),"24,164",0.07
Emmanuel Okereke,(ALP),"22,677",0.06
Lawrence Adedoyin,(APS),"22,409",0.06
Aliyu Habu Fari,(NDP),"21,974",0.06
Galtima Liman,(NNPP),"21,665",0.06
Maxi Okwu,(CPP),"14,027",0.04
Sunny Okogwu,(RPN),"13,566",0.04
Iheanyichukwu Nnaji,(BNPP),"11,705",0.03
Osagie Obayuwana,(NCP),"8,229",0.02
Olapade Agoro,(NAC),"5,752",0.02
Akpone Solomon,(NMDP),"5,664",0.02
Isa Odidi,(ND),"5,408",0.02
Aminu Abubakar,(NUP),"4,355",0.01
Mojisola Obasanjo,(MMN),"4,309",0.01
