state,pdp,cpc,acn  ,anpp,bnpp,pdc,pmp,adc,aps,ppp,nmdp,fresh,mppp,ntp,ncp,unpd,otherparties,totvotes,winner
Abia,1175984,3743,4392,1455,-,-,-,-,-,-,-,-,-,-,-,-,2759,1188333,PDP
Adamawa,508314,344526,32786,2706,1993,3716,3045,1214,-,1430,1229,-,-,-,-,-,6747,907706,PDP
Akwa Ibom,1165629,5348,54148,2000,-,1221,-,-,-,-,-,-,-,-,-,-,4049,1232395,PDP
Anambra,1145169,4223,3537,975,-,1282,-,-,-,-,-,-,-,-,-,-,3128,1158314,PDP
Bauchi,258404,1315209,16674,8777,2694,1235,-,-,-,-,-,1378,-,-,-,-,5723,1610094,CPC
Bayelsa,504811,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1882,506693,PDP
Benue,694776,109680,223007,8592,-,2623,1685,1936,-,-,-,-,-,-,-,-,5410,1047709,PDP
Borno,207075,909763,7533,37279,2677,1803,1189,1435,1196,1126,1225,1536,-,-,-,-,3809,1177646,CPC
Cross River,709382,4002,5839,2521,-,1203,-,-,-,-,-,-,-,-,-,-,3344,726291,PDP
Delta,1378851,8960,1311,2746,-,1209,-,-,-,-,-,1595,-,-,-,-,3908,1398580,PDP
Ebonyi,480592,1025,1112,14296,-,1794,1289,-,-,-,-,-,-,-,-,-,2782,502890,PDP
Edo,542173,17795,54242,2174,-,1179,-,-,-,-,-,-,-,-,-,-,3629,621192,PDP
Ekiti,185009,2689,116981,1482,-,-,-,1314,-,-,-,-,-,-,-,-,4383,311858,PDP
Enugu,802144,3753,1755,1111,-,2642,-,-,-,-,-,-,-,-,-,-,2604,814009,PDP
Gombe,290376,495898,3420,136,1764,1423,-,-,-,-,-,-,-,-,-,-,7474,800491,CPC
Imo,1381357,7591,14821,2520,-,-,-,-,-,-,-,-,-,-,-,-,3561,1409850,PDP
Jigawa,491252,663994,17353,7676,3230,5093,4165,1746,1218,4964,2341,2094,1244,1733,1047,1164,2453,1212767,CPC
Kaduna,1190179,1334244,11278,17301,3321,3098,1759,-,-,1399,-,1691,-,-,1308,-,4385,2569963,CPC
Kano,440666,1624543,42353,526310,5515,4216,2740,5355,3133,4030,2720,3153,1043,1278,1922,-,3183,2672160,CPC
Katsina,428392,1163919,10945,6342,3942,3751,3249,1146,1174,2480,2303,2687,1577,1698,1808,-,4119,1639532,CPC
Kebbi,369198,501453,26171,3298,2331,3112,3918,-,-,2215,1866,1943,1692,1328,1133,-,4441,924099,CPC
Kogi,399816,132201,6516,16491,-,1231,-,-,-,-,-,-,-,-,-,-,5527,561782,PDP
Kwara,268243,83603,52432,1672,-,1565,1124,-,-,-,-,-,-,-,-,-,6115,414754,PDP
Lagos,1281688,189983,427203,8941,1285,7361,2826,5339,1190,7479,-,1988,-,-,2752,1834,5175,1945044,PDP
Nasarawa,408997,278390,1204,1047,-,1398,-,-,-,-,-,-,-,-,-,-,3491,694527,PDP
Niger,321429,652574,13344,7138,3160,3278,2892,1349,1151,3112,1392,2049,1071,1221,1348,-,2659,1019167,CPC
Ogun,309177,17654,199555,2969,-,2039,1748,2356,-,2042,-,-,-,-,-,1650,3419,542609,PDP
Ondo,387376,11890,74253,6741,-,1909,-,-,-,-,-,-,-,-,-,-,4668,486837,PDP
Osun,188409,6997,299711,3617,-,1268,-,ADC,-,1285,-,-,-,-,-,1755,4500,507542,ACN
Oyo,484758,92396,252240,7156,-,3321,2072,6541,1295,3149,-,-,-,-,1749,2902,4811,862390,PDP
Plateau,1029865,356551,10181,5235,-,2601,1717,-,-,-,-,-,-,-,-,-,4967,1411117,PDP
Rivers,1817762,13182,16382,1449,-,1646,-,-,-,-,-,-,-,-,-,-,3695,1854116,PDP
Sokoto,309057,540769,20144,5063,2946,3756,4183,2373,1971,4012,2726,3163,1952,1802,1476,-,3324,908717,CPC
Taraba,451354,257986,17791,1203,1382,2163,1622,-,-,-,-,-,-,-,-,-,5564,739065,PDP
Yobe,117128,337537,-,143179,1870,1885,1384,3230,2263,1395,1182,-,-,-,-,-,4762,615815,CPC
Zamfara,238180,624515,17970,46554,2569,1919,1384,1297,-,1491,-,1421,-,-,-,-,4579,941879,CPC
Abuja,253444,131576,2327,3170,-,1468,-,2036,-,-,-,-,-,-,-,-,4073,398094,PDP
