state,pdp,apc,apga,sdp,pdm,ap,lp,otherparties,regvoters,winner,,,,,,,,,,,,,,,,,,,,,,,
Abia,264713,-,180882,-,-,-,-,-,1349134,Theodore Orji (PDP) ,,,,,,,,Inconclusive,,Inconclusive,,,,,,,,,,,,,
Adamawa,98917,362329,-,"181,80",32985,-,-,139915,1518123,Mohammed Umar Jibrilla (APC),,,,,,,,,,362329,,Markus,Gundiri,(SDP),181806,,Nihu,Ahmed,Ribadu,(PDP),98970,,
AkwaIbom,996071,89865,-,-,-,10598,-,24644,1644481,Emmanuel Udom Gabriel (PDP),,,,,,,,,,996071,,Umana,Okon,Umana,(APC),89865,,,Helen,Esuene,(Labour,Party),86000
Bauchi,282650,654934,-,-,-,-,-,-,2053484,Muhammad Abubakar (APC) ,,,,,,,,,,654934,,Jatau,Mohammad,Auwal,(PDP),282650,,,,,,,
Bayelsa,134998,86852,-,-,1527,-,-,-,654493,Mohammed Abdullahi Abubakar (APC),,,,,,,,,,,,Terhemen,Tarzoor,(PDP),296189,,,,,,,,
Benue,313878,422932,-,-,-,-,-,-,1893596,Samuel Ortom (APC),,,,,,,,,,Collation,in,Progress,,,,,,,,,,,
Borno,34771,649913,-,-,-,-,-,-,1407777,Kashim Shettima (APC),,,,,,,,,,,Odey,Anthony,Ochicha,(APC),53983,,Fidelis,Ugbo,36918,(Labour,party),,
CrossRivers,342016,53983,-,-,-,-,-,36918,1144288,Ben Ayade (PDP),,,,,,,,,,724680,,Great,Ogboru,(Labour,Party),130028,,,Oghenetega,,Emerhor,(APC),67825
Delta,724680,67825,-,-,-,-,130028,-,2044372,Okowa Ifeanyi Arthur (PDP),,,,,,,,,,,Edward,Nkwegu,(Labour,Party),124817,,Julius,Ucha,(APC),27583,,,
Ebonyi,289867,27583,-,-,-,-,124817,-,1071226,Dave Umahi (PDP),,,,,,,,,,,Okey,Ezea,(APC),43839,,Oba,Maduabuchi(APGA),3303,,,,,
Enugu,482277,43839,-,-,-,-,-,8117,1381563,Ifeanyi Ugwuanyi (PDP),,,,,,,,,,285369,,Mohammed,Inuwa,Yahaya,(APC),205132,,,,,,,
