state,apc,pdp,apa,acpa,cpp,ad,adc,ppn,ncp,accord,upp,kowa,udp,hp,totalvotes,regvoters,winner
Abia,13394,368303,2766,2194,1046,448,569,424,745,315,330,173,213,125,391045,1349134,PDP
Adamawa,374701,251664,1549,1166,819,595,1012,1163,1212,495,334,752,289,267,636018,1518123,APC
Akwa Ibom,58411,953304,384,443,412,474,608,327,381,1600,144,160,224,192,1017064,1644481,PDP
Anambra,17926,660762,2303,1259,1279,475,534,537,887,547,1121,311,286,357,688584,1963427,PDP
Bauchi,931598,86085,964,232,391,173,189,128,207,131,37,128,29,46,1020338,2053484,APC
Bayelsa,5194,361209,70,38,44,69,116,62,95,45,35,52,20,18,367067,605637,PDP
Benue,373961,303737,945,1464,567,254,539,439,683,315,74,105,66,115,683264,1893596,APC
Borno,473543,25640,878,243,310,392,201,143,107,145,41,158,31,88,501920,1407777,APC
Cross River,28368,414863,532,514,381,709,749,864,930,279,1487,312,289,237,450514,1144288,PDP
Delta,48910,1211405,478,916,813,735,888,393,670,1473,261,311,354,166,1267773,2044372,PDP
Ebonyi,19518,323653,2452,1214,2345,1133,2704,1168,1890,426,4859,913,624,989,363888,1071226,PDP
Edo,208469,286869,709,1284,325,450,512,729,516,159,72,175,160,22,500451,1650522,PDP
Ekiti,120331,176466,482,538,330,854,424,388,377,94,145,108,60,94,300691,723255,PDP
Enugu,14157,553003,715,479,237,269,478,407,761,441,290,203,1623,110,573173,1381563,PDP
Gombe,361245,96873,773,192,407,169,247,157,227,104,37,97,25,46,460599,1110105,APC
Imo,133253,559185,2236,956,733,757,1617,414,784,533,1917,158,264,157,702964,1747681,PDP
Jigawa,885988,142904,2527,540,1553,587,375,853,548,394,197,423,338,337,1037564,1815839,APC
Kaduna,1127760,484085,1611,424,824,273,546,549,754,218,78,176,79,105,1617482,3361793,APC
Kano,1903999,215779,2770,778,1552,708,657,485,697,426,156,288,234,292,2128821,4936862,APC
Katsina,1345441,98937,1671,402,976,283,498,254,330,183,72,215,117,47,1449426,2842741,APC
Kebbi,567883,100972,2685,361,1794,450,472,547,519,214,238,448,207,213,677003,1457763,APC
Kogi,264851,149987,1001,1089,967,427,761,476,399,700,156,190,180,144,421328,1350883,APC
Kwara,302146,132602,1165,817,910,520,438,325,394,248,102,214,81,118,440080,1181032,APC
Lagos,792460,632327,2177,3038,1125,4453,2072,1041,1430,1795,244,1000,269,255,1443686,5827846,APC
Nassarawa,236838,273460,310,95,131,74,105,164,222,40,33,48,23,4,511547,1222054,PDP
Niger,657678,149222,2006,441,1264,403,614,449,550,307,118,305,116,198,813671,1995679,APC
Ogun,308290,207950,1930,3072,978,1927,1364,4339,815,584,597,432,562,332,533172,1709409,APC
Ondo,299889,251368,1139,2406,1012,1237,1227,734,846,386,221,223,184,184,561056,1501549,APC
Osun,383603,249929,1306,1731,1029,1667,937,599,767,377,159,255,124,132,642615,1378113,APC
Oyo,528620,303376,4468,8979,6674,6282,5000,2842,1895,6331,3665,1312,1069,839,881352,1073849,APC
Plateau,429140,549615,618,391,237,279,406,554,693,178,29,138,54,56,982388,1977211,PDP
Rivers,69238,1487075,513,525,577,1104,1031,492,565,1066,156,2274,303,542,1565461,2344300,PDP
Sokoto,671926,152199,3482,535,1894,714,762,605,686,249,180,475,269,283,834259,1663127,APC
Taraba,261326,310800,1306,811,1033,586,320,680,876,962,439,153,224,161,579677,1374307,PDP
Yobe,446265,25526,632,164,329,213,112,101,120,101,32,104,30,67,473796,1077942,APC
Zamfara,612202,144833,1310,238,655,290,294,374,404,125,68,122,93,14,761022,1484941,APC
FCT,146399,157195,674,342,347,240,288,269,473,139,96,165,95,83,306805,886573,PDP
