state,pdp,apc,apga,sdp,ppc,adc,prp,lp,zlp,aa,gpn,accord,adp,acd,apm,aac,ppn,ppa,pdc,nnpp,otherparties,registeredvoters,totalvotes,winner
Abia,261127,99574,64366,2191,1044,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4973,1932892,428302,Okezie Ikpeazu (PDP)
Adamawa,376552,336386,-,29792,-,113237,-,-,-,-,-,-,-,1942,-,-,2256,1399,-,-,9743,1973083,855967,Ahmadu Umaru Fintiri (PDP)
Akwa Ibom,519712,171978,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4555,2119727,691690,Emmanuel Udom (PDP)
Bauchi,475888,470570,-,3744,-,-,45736,-,-,-,2143,-,-,-,1258,-,-,-,2617,31058,5355,2462843,992194,Bala Mohammed (PDP)
Bayelsa,143172,352552,-,-,-,-,-,-,-,-,-,1339,-,-,-,-,-,-,-,-,2469,923182,495724,Douye Diri (PDP)
Benue,434473,345155,3502,5620,-,1693,26786,3742,-,-,-,-,-,-,-,-,1056,-,-,-,10620,2480131,813658,Samuel Ortom (PDP)
Borno,66115,1175440,-,10776,-,-,-,-,4422,-,2014,-,-,-,-,-,-,-,-,-,8200,2315956,1258767,Babagana Zulum (APC)
Cross Rivers,381484,131161,-,4818,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4846,1527289,517463,Prof. Ben Ayade (PDP)
Delta,925274,215938,-,1136,-,2032,-,-,-,-,-,1027,-,-,-,-,-,-,1001,-,7524,2845274,1143244,Ifeanyi Okowa (PDP)
Ebonyi,393043,81703,-,1129,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6143,1459933,475875,David Umahi (PDP)
Enugu,449935,10423,2547,1476,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6546,1944016,462905,Ifeanyi Ugwuanyi (PDP)
Gombe,222868,364179,-,2356,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1720,-,17723,1394393,589403,Inuwa Yahaya (APC)
Imo,273404,96458,114676,2253,-,-,-,1658,3999,190364,-,6846,-,-,-,1628,-,1979,1064,-,20026,2272293,681748,Hon. Emeka Ihedioha (PDP)
Jigawa,288356,810933,-,32894,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2096,4775,2111106,1132183,Mohammed Badaru
Kaduna,814168,1045427,2405,9828,-,1011,5626,-,-,-,-,-,-,-,-,-,-,-,-,2025,9224,3932492,1875049,Mallam Nasir El-Rufai (APC)
Kano,1024713,1033695,-,-,-,-,104065,-,-,-,-,-,-,-,-,-,-,1575,2297,-,25190,5457747,2162473, Abdullahi Umar Ganduje (APC)
Katsina,488621,1178864,-,-,-,1921,6141,-,-,-,-,2287,-,-,-,-,-,-,-,-,5211,3230230,1673626,Aminu Masari (APC)
Kebbi,106633,673717,-,7444,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5640,1806231,787794,Atiku Bagudu (APC)
Kogi,189704,406222,-,9393,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5425,1646350,595926,Yahaya Bello (APC)
Kwara,114754,331546,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1482,-,-,5651,1406457,446300,Abdulrahman Abdulrazaq (APC)
Lagos,206141,739445,-,-,-,3544,-,-,-,-,-,4122,-,-,-,1078,-,-,-,-,23146,6570291,945586,Babajide Sanwo-Olu (APC)
Nasarawa,184281,327229,132784,7442,-,1319,-,-,13308,-,-,-,1355,-,-,-,-,-,-,-,3161,1617786,657602,Abdullahi Sule (APC)
Niger,298065,526412,4680,1699,-,1434,1000,5457,-,-,-,-,36015,14230,-,-,-,-,-,-,11879,2390035,874722,Abubakar Bello (APC)
Ogun,70290,241670,-,-,-,110422,-,-,-,-,-,1695,9666,2629,222153,1469,1149,1133,-,-,17118,2375003,654201,Dapo Abiodun (APC)
Oyo,515621,357982,-,-,1025,12375,-,-,3650,-,-,1514,8664,-,-,-,-,-,1759,-,14270,2934107,894642,Seyi Makinde (PDP)
Plateau ,546813,595582,-,2382,1461,1627,-,-,-,-,-,-,4670,-,-,-,-,-,1317,-,6102,2480455,1147065,Simon Lalong (APC)
Rivers,886264,-,-,5138,-,2409,-,2690,-,-,-,13337,1860,1166,-,173859,-,-,-,-,16100,3215273,1073460, Ezenwo Nyesom Wike (PDP)
Sokoto,512002,511660,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1405,-,-,11265,1903166,1023662,Aminu Tambuwal (PDP)
Taraba,520433,362735,4098,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22450,1777105,883168,Darius Ishaku (PDP)
Yobe,95703,444013,-,1566,-,1350,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3538,1365913,539716,MaiMala Buni (APC)
Zamfara,189452,534541,3865,-,-,-,-,-,-,-,-,43691,-,-,-,-,-,-,-,-,21389,1717128,767684,Muktar Idris (APC)
