state,apc,pdp,pcp,adc,apga,otherparties,regvoters,totvotes,winner
Abia,85058,219698,1489,336,9638,7072,1932892,323291,PDP
Adamawa,378078,410266,3670,3989,159,15372,1973083,811534,PDP
Akwa Ibom,175429,395832,1902,230,61,5321,2119727,578775,PDP
Anambra,33298,524738,4374,227,30034,13063,2447996,605734,PDP
Bauchi,798428,209313,2104,296,149,14017,2462843,1024307,APC
Bayelsa,118821,197933,1584,1078,53,2298,923182,321767,PDP
Benue,347668,356817,2793,554,4582,16498,2480131,728912,PDP
Borno,836496,71788,1563,301,187,9451,2315956,919786,APC
Cross River,117302,295737,2033,326,43,6460,1527289,421901,PDP
Delta,221292,594068,2753,1075,145,10429,2845274,829762,PDP
Ebonyi,90726,258573,1637,213,222,7760,1459933,359131,PDP
Edo,267842,275691,3526,850,143,12659,2210534,560711,PDP
Ekiti,219231,154032,2299,406,39,5125,990967,381132,APC
Enugu,54423,355553,2337,348,1618,6735,1944016,421014,PDP
FCT,152224,259997,2921,246,255,8308,1344856,423951,PDP
Gombe,402961,138484,1679,248,124,10707,1394393,554203,APC
Imo,140463,334923,4883,541,10880,19896,2272293,511586,PDP
Jigawa,794738,289895,2761,261,140,18449,2111106,1106244,APC
Kaduna,993445,649612,4027,558,749,15212,3932492,1663603,APC
Kano,1464768,391593,3568,591,549,30065,5457747,1891134,APC
Katsina,1232133,308056,2399,237,331,12317,3230230,1555473,APC
Kebbi,581552,154282,1794,285,228,18464,1806231,756605,APC
Kogi,285894,218207,2207,4369,318,10021,1646350,521016,APC
Kwara,308984,138184,2108,456,89,9855,1406457,459676,APC
Lagos,580825,448015,8458,2915,499,48855,6570291,1089567,APC
Nasarawa,289903,283847,1868,339,1523,3298,1617786,580778,APC
Niger,612371,218052,2855,588,389,17682,2390035,851937,APC
Ogun,281762,194655,3563,25283,222,58771,2375003,564256,APC
Ondo,241769,275901,4829,6296,90,27109,1822346,555994,PDP
Osun,347634,337377,4888,1525,73,23185,1680498,714682,APC
Oyo,365229,366690,5352,40830,197,58233,2934107,836531,PDP
Plateau,468555,548665,4276,590,160,12607,2480455,1034853,PDP
Rivers,150710,473971,2954,597,614,13319,3215273,642165,PDP
Sokoto,490333,361604,2630,331,313,16680,1903166,871891,APC
Taraba,324906,374743,321,211,1071,11625,1777105,712877,PDP
Yobe,497914,50763,2107,162,226,8193,1365913,559365,APC
Zamfara,438682,125423,774,186,738,12636,1717128,578439,APC
